freq,unit,sector,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,INTLORG,ED1_2,PL	293.6 	249.4 	266.7 	163.7 	83.5 d	418.2 	667.5 	503.4 	447.2 
A,MIO_EUR,INTLORG,ED1_2,PT	180.8 	348.6 	271.6 	69.0 	72.7 	0.0 	67.4 	1.0 	0.1 
A,MIO_EUR,INTLORG,ED1_2,RO	20.8 	9.8 	11.6 	42.0 	1.6 	1.6 	7.4 	22.0 	37.9 
A,MIO_EUR,INTLORG,ED1_2,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,INTLORG,ED1_2,SE	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED1_2,SI	1.2 	1.6 	1.9 	2.0 	2.3 	5.8 	10.1 	8.9 	11.3 
A,MIO_EUR,INTLORG,ED1_2,SK	: 	72.0 	69.2 	68.3 	8.8 	24.5 	60.7 	87.1 	102.6 
A,MIO_EUR,INTLORG,ED1_2,TR	0.4 	0.0 	0.0 	0.1 	5.8 	32.3 	34.0 	37.7 	39.2 
A,MIO_EUR,INTLORG,ED1_2,UK	: 	1.5 	: 	: z	8.8 	17.9 	11.8 	10.6 	: 
A,MIO_EUR,INTLORG,ED2,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED2,BE	6.5 	5.4 	4.1 	4.1 	25.2 	21.6 	23.4 	27.6 	29.9 
A,MIO_EUR,INTLORG,ED2,BG	10.9 	10.2 	10.1 	6.9 	12.4 	14.4 	11.5 	13.0 	13.6 
A,MIO_EUR,INTLORG,ED2,CH	: z	: z	: z	: z	: z	0.0 	0.0 	: 	0.0 
A,MIO_EUR,INTLORG,ED2,CY	0.0 	0.0 	0.0 	0.0 	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED2,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED2,DE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED2,DK	: z	: z	: z	: 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED2,EE	: 	14.4 	29.3 	29.8 	16.0 	19.6 	21.1 	17.1 	20.9 
A,MIO_EUR,INTLORG,ED2,EL	34.8 	46.2 	49.0 	39.4 	22.1 	12.4 	18.9 	19.2 	: 
