freq,unit,sector,expend,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,PRIV,ASERV,ED25,PL	: 	: d	: d	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,PT	: 	: 	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ASERV,ED25,RO	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,RS	: 	: 	: z	: z	: 	: z	: 	: 	: 
A,MIO_EUR,PRIV,ASERV,ED25,SE	: 	: 	: d	: d	: d	: d	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,SI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,SK	: 	0.3 	0.3 	0.4 	0.1 	0.5 	0.5 	0.6 	0.9 
A,MIO_EUR,PRIV,ASERV,ED25,TR	: d	: 	: 	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,UK	: 	180.8 	264.4 	: d	325.4 	347.4 	313.7 	307.4 	: 
A,MIO_EUR,PRIV,ASERV,ED35,AT	7.0 	7.0 	6.3 	6.5 	6.6 	4.9 	6.4 	: d	2.0 
A,MIO_EUR,PRIV,ASERV,ED35,BE	64.0 d	65.6 d	64.7 d	71.1 d	72.1 d	55.4 	50.6 	60.1 d	63.2 d
A,MIO_EUR,PRIV,ASERV,ED35,BG	0.6 	1.0 	1.4 	1.7 	2.6 	3.1 	3.2 	3.3 	3.3 
A,MIO_EUR,PRIV,ASERV,ED35,CH	: 	: 	: d	: 	: 	: 	: 	: 	: 
A,MIO_EUR,PRIV,ASERV,ED35,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ASERV,ED35,CZ	51.6 	50.6 	47.9 	48.6 	49.4 	51.8 	54.0 	55.3 	55.2 
